5682,4247249,33+T-Por+1,365,320,15,5120
3752,4247249,64+T-Gri+3,616,440,1,8460
1332,849072368,Ville+de+Clair+de+luneCh23866,519,467,3,533
6528,3334044,Elis%C3%A9e,545,456,19,2180
3343,849071889,03+-+Ker+Oriant,441,511,15,1511
2661,849071545,Ville+de+adroigt,429,464,19,1346
5880,4073306,idunion02A,529,558,4,2762
314,849072188,Ville+de+zackary,502,487,18,199
400,2448171,Ville+de+lm30,502,483,10,578
1108,849072324,Ville+de+Jean+Mathiouz,521,478,5,467
6283,849073637,Ville+de+4pOqAnDPgve,557,493,12,430
8001,849073916,Ville+de+Tomthefreak,557,550,7,696
7683,1917871,Ville+de+03jules,505,427,15,892
5970,2608965,66.+Far+city,633,625,15,2655
220,849047024,Ville+de+Beko2,498,505,4,598
909,2539335,Ville+de+lolerskateswag,519,484,10,861
337,849072191,Ville+de+samcroanarchy,502,483,3,223
3569,4839839,002,497,544,1,3537
5924,51293,66.+Cos,633,625,8,2262
7182,849073848,Ville+de+Math67527,430,483,19,219
5791,849073364,Ville+de+lBlwN017R,556,542,2,430
851,849023067,Ville+de+WowoW,472,503,6,219
377,849072194,Ville+de+Bengala17,487,507,3,219
3566,849072828,Ville+de+Balek,519,541,2,549
952,849021623,GTA+I,478,474,12,8314
1860,3906188,Ville+de+chevalier+des+reines,534,518,10,2389
7586,4247249,33+T-Por+5,380,308,8,1750
4513,2096872,Ville+de+Azyax,551,522,17,521
1605,849072424,Ville+de+gerry,495,541,14,197
387,849072195,Ville+de+Aleksandros,502,483,13,219
682,849072234,Ville+de+Julius+II,514,501,14,441
219,3414771,Ville,508,495,7,2700
3329,4319092,Ville+de+Thorzan,442,479,8,581
7559,849073944,Ville+de+Achille13lm,558,456,19,225
424,849072201,Ville+de+kevin0909,498,494,5,270
3487,849044832,Ville+de+alexrz7,450,519,7,993
1547,849000767,Ville+de+ThePigvader,462,511,15,197
728,849072242,Ville+de+fullboxon,470,487,1,202
6380,848992471,Ville+de+hichem,537,454,18,805
1365,849072375,Ville+de+Emed,477,528,19,197
3612,878917,Ville+de+David48,531,635,16,997
982,849072292,Ville+de+Kitava,472,503,12,441
5493,848980696,Ville+de+Thravok,443,546,8,825
1614,849072428,Ville+de+LED23,495,541,3,197
7787,849073985,Ville+de+hgjghj,573,514,16,175
973,849072287,Ville+de+alexgv,472,503,3,540
