849072838,Le+dieux,,0,3072,0
849072450,Abdel68100,,0,2942,0
849072604,Sandwichs,,0,3153,0
849072707,Atlantisium,,562,1855,1
849072341,Livister,,219,2684,1
849072417,Furfurin,,0,3022,0
849065167,Lena34,,0,3075,0
849071716,Napsters,,0,3114,0
849033950,alex870999,,1118,1372,1
849072865,MagicClara98608,,0,3098,0
849073831,nobodycanseeme,,0,3123,0
849072423,Timologie+C,,0,3179,0
849073320,Fofolle,,481,2073,1
849072843,Sparda78fr,,0,3169,0
849072882,Abdoul9,,221,2550,1
849031381,paradis,271,1566,1135,1
849074018,Ma%C3%AEtreMiroir,,0,3099,0
849072250,Claudius17,,0,2988,0
849030697,Kitsu93,,621,1761,1
849072298,grisoux57,,791,1678,1
848979330,Sir.SnaKe,,0,3164,0
4798158,retophe,508,519,1956,1
849072402,Vygrekos,,197,2827,1
849072962,Silhice,,552,1882,1
849072267,Theo0893,,0,3177,0
849072149,Chilango,,279,2461,1
849072221,Cythere,,0,2993,0
849073203,kMyBLJ29,,430,2307,1
849072191,samcroanarchy,,223,2541,1
849073803,sanmarco,,1705,1074,1
849037892,jacob+le+fou,,0,3049,0
849067749,TMTe,,0,3183,0
849072195,Aleksandros,,219,2663,1
849033267,cloclo17,,1386,1220,1
4901430,Arnbj%C3%B6rn,,0,2956,0
849073080,rayabernard,,197,2803,1
849073077,Richiehohm,,197,2805,1
849072200,Pastagaa,,0,3133,0
849072317,Tatch,,0,3175,0
849044832,alexrz7,,993,1490,1
849073649,eWXYKO6Hf,,430,2260,1
849073891,PaynsTechno,,197,2800,1
849072194,Bengala17,,219,2668,1
849073669,SquiRaz,,0,3171,0
849073234,ADLAR,,513,1986,1
849072794,Spartacus42,,0,3170,0
849073246,Ooaitt,,0,3128,0
849064427,LaFraude,,24029,205,6
849073349,4AZ51rRlR,,430,2189,1
849064615,OctavioGreat,,221,2623,1
849072201,kevin0909,,270,2464,1
849073969,Zubitarix,,221,2662,1
849072830,B..r..n.,,0,2981,0
4724790,Tomixas,,547,1904,1
849072414,nono91650,,221,2622,1
849073031,Vl%C3%A0-ltopo,,810,1655,1
849072805,Seb1,,482,2071,1
849072363,Grady,,0,3029,0
849072323,ousmanekebe864,,221,2625,1
4620156,lMamie69,168,0,3086,0
849072937,lioga199,,0,3083,0
849036129,Kuroko,,179,2835,1
